GWNO	EVENT_ID_CNTY	EVENT_ID_NO_CNTY	EVENT_DATE	YEAR	MONTH	DAY	TIME_PRECISION	Event Type	Actor	ALLY_ACTOR_1	INTER1	ACTOR2	ALLY_ACTOR_2	INTER2	INTERACTION	COUNTRY	ADMIN1	ADMIN2	ADMIN3	LOCATION	LATITUDE	LONGITUDE	GEO_PRECIS	SOURCE	Notes	Fatalities
651	27EGY	21805	22/07/1997	1997	7	22	1	Battle-No change of territory	Al-Gama'a al-Islamiyya 		2	Police Forces of Egypt (1981-2011)		1	12	Egypt	Menia	Kesm Al-minya		Minya	28.10988	30.75030	1	Reuters	Suspected Moslem militants shot dead five policemen and their officer and injured two civilians on Tuesday in an attack on a police patrol just outside Minya.	6
651	30EGY	21808	19/08/1997	1997	8	19	1	Violence against civilians	Al-Gama'a al-Islamiyya 		2	Civilians (Egypt)		7	27	Egypt	Assiut	Al-Qusia		"Manfalut, Markaz"	27.33330	30.83330	1	Reuters	Egypt's most violent Moslem militant group has claimed responsibility for killing four policemen in an attack in the south of the country - civilian caught in crossfire of police ambush.	1
651	29EGY	21807	19/08/1997	1997	8	19	1	Battle-No change of territory	Al-Gama'a al-Islamiyya 		2	Police Forces of Egypt (1981-2011)		1	12	Egypt	Assiut	Al-Qusia		"Manfalut, Markaz"	27.33330	30.83330	1	Reuters	Egypt's most violent Moslem militant group has claimed responsibility for killing four policemen in an attack in the south of the country.	4
651	32EGY	21810	06/09/1997	1997	9	6	1	Violence against civilians	Al-Gama'a al-Islamiyya 		2	Civilians (Egypt)		7	27	Egypt	Shrkia	Faqus		Roda	30.68940	31.82080	1	Reuters	Six people including a 10-year-old child were killed and one was injured in southern Egypt after suspected Moslem militants went on a rampage against police informers.	6
651	31EGY	21809	06/09/1997	1997	9	6	1	Battle-No change of territory	Unidentified Armed Group (Egypt)		3	Muslim Militia (Egypt)		4	34	Egypt	Assiut	Al-Qusia		Assiut	27.33330	30.83330	1	Reuters	"In the village of Greiss, a fugitive militant shot and injured his neighbour, because he thought he was cooperating with the police. The farmer's family then shot dead the militant's uncle, aunt and their 10-year-old daughter in revenge."	3
651	33EGY	21811	18/09/1997	1997	9	18	1	Remote violence	Muslim Militia (Egypt)		4	Civilians (International)		7	47	Egypt	Cairo	Al Wayli		Cairo	30.07708	31.28591	1	Reuters	"Nine people were killed on Thursday in a bomb attack on a tourist bus in Cairo, including six Germans and three others."	9
651	35EGY	21813	30/09/1997	1997	9	30	1	Violence against civilians	Al-Gama'a al-Islamiyya 		2	Civilians (Egypt)		7	27	Egypt	Menia	Markz Al Minya		Beni Ahmad	28.04170	30.76940	1	Reuters	Suspected Moslem militants beheaded a policeman and killed a farmer they believed was a police informer in the southern Egyptian province of Minya.	1
651	34EGY	21812	30/09/1997	1997	9	30	1	Battle-No change of territory	Al-Gama'a al-Islamiyya 		2	Police Forces of Egypt (1981-2011)		1	12	Egypt	Menia	Markz Al Minya		Beni Ahmad	28.04170	30.76940	1	Reuters	Suspected Moslem militants beheaded a policeman and killed a farmer they believed was a police informer in the southern Egyptian province of Minya.	2
651	37EGY	21815	13/10/1997	1997	10	13	1	Violence against civilians	Al-Gama'a al-Islamiyya 		2	Civilians (Egypt)		7	27	Egypt	Menia	Markz Abu Qurqas		"Abu Qurqas, Markaz"	27.93330	30.75000	1	Dow Jones International News	"Militants attacked police stations in the town of Abu Qurqas, killing six policemen and two civilians."	8
651	36EGY	21814	13/10/1997	1997	10	13	1	Battle-No change of territory	Al-Gama'a al-Islamiyya 		2	Police Forces of Egypt (1981-2011)		1	12	Egypt	Menia	Markz Abu Qurqas		"Abu Qurqas, Markaz"	27.93330	30.75000	1	Dow Jones International News	"Militants attacked police stations in the town of Abu Qurqas, killing six policemen and two civilians."	8
651	38EGY	21816	13/10/1997	1997	10	13	1	Battle-No change of territory	Al-Gama'a al-Islamiyya 		2	Police Forces of Egypt (1981-2011)		1	12	Egypt	Menia	Markz Mallawi		Mallawi	27.76670	30.83330	1	Dow Jones International News	Militants attacked police stations in the town of Mellawi killing three policemen.	3
651	40EGY	21818	12/11/1997	1997	11	12	1	Violence against civilians	Muslim Militia (Egypt)		4	Civilians (Egypt)		7	47	Egypt	Qena	Nag Hammadi		Nag Hamadi	26.05140	32.23860	1	Reuters	Suspected Moslem militants shot dead two policemen and a farmer on Wednesday after an ambush in the railway station of the southern Egyptian town of Nag Hammadi.	3
651	39EGY	21817	12/11/1997	1997	11	12	1	Battle-No change of territory	Muslim Militia (Egypt)		4	Police Forces of Egypt (1981-2011)		1	14	Egypt	Qena	Nag Hammadi		Nag Hamadi	26.05140	32.23860	1	Reuters	Suspected Moslem militants shot dead two policemen and a farmer on Wednesday after an ambush in the railway station of the southern Egyptian town of Nag Hammadi.	3
651	42EGY	21820	17/11/1997	1997	11	17	1	Violence against civilians	Al-Gama'a al-Islamiyya 		2	Civilians (International)		7	27	Egypt	Luxor	Luxor		Luxor	25.68330	32.65000	1	Reuters	Gunmen killed 60 foreign tourists in an attack on an ancient temple in Egypt's southern town of Luxor on Monday	60
651	41EGY	21819	17/11/1997	1997	11	17	1	Battle-No change of territory	Al-Gama'a al-Islamiyya 		2	Police Forces of Egypt (1981-2011)		1	12	Egypt	Luxor	Luxor		Luxor	25.68330	32.65000	1	Reuters	Gunmen kill three policemen in a shoot-out following an attack on tourists in Luxor.	3
651	43EGY	21821	13/12/1997	1997	12	13	1	Battle-No change of territory	Police Forces of Egypt (1981-2011)		1	Al-Gama'a al-Islamiyya 		2	12	Egypt	Menia	Markz Mallawi		Mallawi	27.76670	30.83330	1	Reuters	A suspected Moslem militant and a policeman were killed in a shootout in southern Egypt.	2
651	44EGY	21822	10/03/1998	1998	3	10	1	Battle-No change of territory	Police Forces of Egypt (1981-2011)		1	Al-Gama'a al-Islamiyya 		2	12	Egypt	Menia	Kesm Al-minya		Minya	28.10988	30.75030	1	Reuters	Four suspected Moslem militants and a policeman were killed in a gunbattle in Egypt's southern province of Minya.	5
651	46EGY	21824	22/03/1998	1998	3	22	1	Violence against civilians	Al-Gama'a al-Islamiyya 		2	Civilians (Egypt)		7	27	Egypt	Menia	Markz Bani Mazar		Beni Mazar	28.50000	30.75000	1	Reuters	"Suspected Moslem militants rampaged through Beni Mazar village. They machine-gunned a police car, killing Lieutenant Alaa Andeel, two guards and the driver. Two passers-by were also wounded."	4
651	48EGY	21826	22/03/1998	1998	3	22	1	Violence against civilians	Al-Gama'a al-Islamiyya 		2	Civilians (Egypt)		7	27	Egypt	Menia	Markz Matay		Matay	28.42220	30.75560	1	Reuters	"Suspected Moslem militants rampaged through two villages in southern Egypt on Sunday, killing four policemen and wounding at least 13 others. The gunmen drove through Matay where they sprayed a minibus with bullets, wounding four policemen and seven passengers."	4
651	45EGY	21823	22/03/1998	1998	3	22	1	Battle-No change of territory	Al-Gama'a al-Islamiyya 		2	Police Forces of Egypt (1981-2011)		1	12	Egypt	Menia	Markz Bani Mazar		Beni Mazar	28.50000	30.75000	1	Reuters	"Suspected Moslem militants rampaged through Beni Mazar village. They machine-gunned a police car, killing Lieutenant Alaa Andeel, two guards and the driver. Two passers-by were also wounded."	4
651	47EGY	21825	22/03/1998	1998	3	22	1	Battle-No change of territory	Al-Gama'a al-Islamiyya 		2	Police Forces of Egypt (1981-2011)		1	12	Egypt	Menia	Markz Matay		Matay	28.42220	30.75560	1	Reuters	"Suspected Moslem militants rampaged through two villages in southern Egypt on Sunday, killing four policemen and wounding at least 13 others."	4
651	50EGY	21828	30/03/1998	1998	3	30	1	Violence against civilians	Al-Gama'a al-Islamiyya 		2	Civilians (Egypt)		7	27	Egypt	Assiut	Al- Badari		El Badari	27.01670	31.41670	1	Reuters	A 10-year-old boy and a suspected Moslem militant were shot dead in a clash between police and three suspected militants in southern Egypt on Monday.	1
