GWNO	EVENT_ID_CNTY	EVENT_ID_NO_CNTY	EVENT_DATE	YEAR	MONTH	DAY	TIME_PRECISION	Event Type	Actor	ALLY_ACTOR_1	INTER1	ACTOR2	ALLY_ACTOR_2	INTER2	INTERACTION	COUNTRY	ADMIN1	ADMIN2	ADMIN3	LOCATION	LATITUDE	LONGITUDE	GEO_PRECIS	SOURCE	Notes	Fatalities
475	1967NIG	47855	12/03/2008	2008	3	12	1	Battle-No change of territory	Military Forces of Nigeria (2007-2010)		1	Unidentified Armed Group (Nigeria)		3	13	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.78917	6.99861	1	Agence France Presse	One cultist is killed as the military raided a community in the oil region.	1
475	1966NIG	47854	12/03/2008	2008	3	12	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Akwa Ibom	Uyo		Akwa Ibom State	5.00000	7.83333	2	Reuters News	Gunmen attack an ExxonMobil station in Eket	0
475	1968NIG	47856	17/03/2008	2008	3	17	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (International)		7	37	Nigeria	Ogun	Obafemi-Owode		Ogun	7.00000	3.58333	2	The Sentinel	A British oil worker was shot dead in Ogun State.	1
475	1969NIG	47857	19/03/2008	2008	3	19	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Military Forces of Nigeria (2007-2010)		1	13	Nigeria	Rivers	Bonny		Bonny Island	4.44920	7.24000	1	Reuters News	Gunmen kill a Nigerian Sailor near Bonny Island in the Nigerian Delta.	1
475	1970NIG	47858	24/03/2008	2008	3	24	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Military Forces of Nigeria (2007-2010)		1	13	Nigeria	Delta	Ughelli North		Delta	5.50000	6.00000	2	Associated Press Newswires	As an attack from armed men in a speedboat seemed imminent	0
475	1971NIG	47859	25/03/2008	2008	3	25	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (International)		7	37	Nigeria	Lagos	LagosIsland		Lagos	6.45306	3.39583	2	Agence France Presse	Gunmen attack a car carrying a Briton and an American	0
475	1972NIG	47860	30/03/2008	2008	3	30	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (International)		7	37	Nigeria	Ondo	Akure North		Akure	7.25000	5.20000	1	Vanguard (Nigeria)	In Akute	0
475	1973NIG	47861	03/04/2008	2008	4	3	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (International)		7	37	Nigeria	Delta	Ndokwa East		Niger Delta	5.32611	6.47083	2	Reuters News	A German worker is kidnapped in the Niger Delta by militants. Three Nigerians killed.	3
475	1974NIG	47862	05/04/2008	2008	4	5	2	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Police Forces of Nigeria (2007-2010)		1	13	Nigeria	Cross River	Biase		Edu	5.75000	7.93333	1	All Africa	bystanders in Ezillo suffer the effects of two rival groups clashing.	0
475	1975NIG	47863	07/04/2008	2008	4	7	1	Battle-No change of territory	MEND: Movement for the Emancipation of the Niger Delta		2	Military Forces of Nigeria (2007-2010)		1	12	Nigeria	Kaduna	Kachia		Kachia	9.86667	7.95000	1	The Punch	Nigeria's military stages demonstration of firepower	0
