GWNO	EVENT_ID_CNTY	EVENT_ID_NO_CNTY	EVENT_DATE	YEAR	MONTH	DAY	TIME_PRECISION	Event Type	Actor	ALLY_ACTOR_1	INTER1	ACTOR2	ALLY_ACTOR_2	INTER2	INTERACTION	COUNTRY	ADMIN1	ADMIN2	ADMIN3	LOCATION	LATITUDE	LONGITUDE	GEO_PRECIS	SOURCE	Notes	Fatalities
552	226ZIM	94699	01/04/2000	2000	4	1	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Midlands	Kwekwe Urban	Kwekwe City Council	Kwekwe	-18.91660	29.81670	1	Zimbabwe Human Rights NGO Forum		0
552	222ZIM	94695	01/04/2000	2000	4	1	1	Violence against civilians	ZNLWVA: Zimbabwe National Liberation War Veterans Association		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Harare	Harare	Harare City Council	Harare	-17.83330	31.05000	1	Zimbabwe Human Rights NGO Forum	NCA march attacked	0
552	225ZIM	94698	01/04/2000	2000	4	1	1	Violence against civilians	ZNLWVA: Zimbabwe National Liberation War Veterans Association		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland East	Marondera Urban	Marondera Municipality	Marondera	-18.18330	31.55000	1	Zimbabwe Human Rights NGO Forum	Constable Chikwanda killed after being involved in investigations into war veteran involvement in beatings	1
552	227ZIM	94700	02/04/2000	2000	4	2	1	Violence against civilians	MDC: Movement for Democratic Change		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland Central	Bindura Urban	Bindura Municipality	Bindura	-17.29639	31.32972	1	Zimbabwe Human Rights NGO Forum	In Chihota	0
552	228ZIM	94701	02/04/2000	2000	4	2	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland Central	Centenary	Muzarabani RDC	Centenary	-16.80000	31.11670	1	Zimbabwe Human Rights NGO Forum	Man killed after scuffle with Zanu-PF. No date given so coded with approximation	1
552	229ZIM	94702	02/04/2000	2000	4	2	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland Central	Mazowe	Mazowe RDC	Mvurwi	-17.03330	30.85000	1	Zimbabwe Human Rights NGO Forum	Pregnant woman killed as Zanu-PF attacked MDC supporters returning from a rally	1
552	231ZIM	94704	04/04/2000	2000	4	4	1	Violence against civilians	MDC: Movement for Democratic Change		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Midlands	Zvishavane	Runde RDC	Zvishavane	-20.33330	30.03330	1	Zimbabwe Human Rights NGO Forum		0
552	230ZIM	94703	04/04/2000	2000	4	4	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Midlands	Kwekwe Urban	Kwekwe City Council	Kwekwe	-18.91660	29.81670	1	Zimbabwe Human Rights NGO Forum		0
552	232ZIM	94705	08/04/2000	2000	4	8	1	Violence against civilians	MDC: Movement for Democratic Change		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Harare	Harare	Harare City Council	Harare	-17.83330	31.05000	1	Zimbabwe Human Rights NGO Forum	"War vets attacked, one abducted and beaten"	0
552	233ZIM	94706	08/04/2000	2000	4	8	1	Riots/Protests	Rioters (Zimbabwe)		5			0	50	Zimbabwe	Mashonaland Central	Mazowe	Mazowe RDC	Mazowe	-17.51660	30.96670	1	Zimbabwe Human Rights NGO Forum	2000 MDC youths led by Mazowe East Constituency candidate Shepherd Mushonga	0
552	234ZIM	94707	08/04/2000	2000	4	8	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland Central	Mount Darwin	Pfura RDC	Mount Darwin	-16.78330	31.58330	1	Zimbabwe Human Rights NGO Forum	"MDC chairman for Nembire, Taurai, beaten after house burned"	0
552	235ZIM	94708	08/04/2000	2000	4	8	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland Central	Mount Darwin	Pfura RDC	Mount Darwin	-16.78330	31.58330	1	Zimbabwe Human Rights NGO Forum	MDC claims attackers were in pay of local Zanu-PF officials who orchestrated the attack	0
552	236ZIM	94709	09/04/2000	2000	4	9	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front	CIO: Central Intelligence Organization	3	Civilians (Zimbabwe)		7	37	Zimbabwe	Masvingo	Masvingo Urban	Masvingo Municipality	Masvingo	-20.08330	30.83330	1	Amnesty International		0
552	237ZIM	94710	10/04/2000	2000	4	10	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front	ZNLWVA: Zimbabwe National Liberation War Veterans Association	3	Civilians (Zimbabwe)	MDC: Movement for Democratic Change	7	37	Zimbabwe	Mashonaland East	Murehwa	Murehwa RDC	Murehwa	-17.64694	31.77750	1	Zimbabwe Human Rights NGO Forum	"MDC supporter and mother beaten, house burned. Zanu-PF supporters apparently supported by local Zanu (PF) MP, J B Matiza"	0
552	238ZIM	94711	12/04/2000	2000	4	12	1	Violence against civilians	ZNLWVA: Zimbabwe National Liberation War Veterans Association		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Matabeleland South	Mangwe	Mangwe RDC	Empandeni Mission	-20.71660	27.90000	1	Zimbabwe Human Rights NGO Forum	Farm workers forced to leave their farms and occupy 2 white-owned neighbouring farms	0
552	242ZIM	94715	13/04/2000	2000	4	13	1	Violence against civilians	MDC: Movement for Democratic Change		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Matabeleland South	Plumtree	Plumtree Town Council	Plumtree	-20.48330	27.81670	1		"Freedom Tshuma, district chairman, attacked"	0
552	243ZIM	94716	13/04/2000	2000	4	13	1	Violence against civilians	MDC: Movement for Democratic Change		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Matabeleland South	Plumtree	Plumtree Town Council	Plumtree	-20.48330	27.81670	1		"Freedom Tshuma, district chairman, attacked"	0
552	239ZIM	94712	13/04/2000	2000	4	13	1	Violence against civilians	Military Forces of Zimbabwe (1987-)		1	Civilians (Zimbabwe)		7	17	Zimbabwe	Mashonaland Central	Mount Darwin	Pfura RDC	Mount Darwin	-16.78330	31.58330	1	Zimbabwe Human Rights NGO Forum	Army beat Zanu-PF supporters (including candidate Kasukuwere) who were involved in ambush of MDC supporters	0
552	240ZIM	94713	13/04/2000	2000	4	13	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front	CIO: Central Intelligence Organization	3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland Central	Mount Darwin	Pfura RDC	Mount Darwin	-16.78330	31.58330	1	Zimbabwe Human Rights NGO Forum	MDC supporters ambushed and attacked twice along same road	0
552	241ZIM	94714	13/04/2000	2000	4	13	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland West	Norton	Norton Town Council	Norton	-17.88330	30.70000	1	Zimbabwe Human Rights NGO Forum		0
552	244ZIM	94717	14/04/2000	2000	4	14	1	Violence against civilians	ZNLWVA: Zimbabwe National Liberation War Veterans Association		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland East	Murehwa	Murehwa RDC	Arizona	-17.85833	31.95167	1	Zimbabwe Human Rights NGO Forum	Farm worker's daughter raped by war vet	0
552	246ZIM	94719	15/04/2000	2000	4	15	1	Violence against civilians	CIO: Central Intelligence Organization	ZNLWVA: Zimbabwe National Liberation War Veterans Association	1	Civilians (Zimbabwe)		7	17	Zimbabwe	Manicaland	Buhera	Buhera RDC	Buhera	-19.33330	31.43330	1	"Amnesty International: Zimbabwe - Terror tactics in the run-up to parliamentary elections, June 2000"	Victims were MDC members Tichaona Chiminya and Talent Mabika	2
552	245ZIM	94718	15/04/2000	2000	4	15	1	Violence against civilians	MDC: Movement for Democratic Change		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Harare	Harare	Harare City Council	Harare	-17.83330	31.05000	1	Zimbabwe Human Rights NGO Forum		0
552	247ZIM	94720	15/04/2000	2000	4	15	1	Violence against civilians	MDC: Movement for Democratic Change		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland East	Chikomba	Chikomba RDC	Chikomba	-18.75171	30.89630	2	Zimbabwe Human Rights NGO Forum	"MDC parliamentary candidate for Chikomba, John Chidyiwa, assaulted Zanu (PF) youth member"	0
552	250ZIM	94723	15/04/2000	2000	4	15	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland East	Mutoko	Mutoko RDC	Mutoko	-17.40000	32.21670	1	Zimbabwe Human Rights NGO Forum	UP supporter and her son beaten	0
552	249ZIM	94722	15/04/2000	2000	4	15	1	Violence against civilians	ZNLWVA: Zimbabwe National Liberation War Veterans Association	ZANU-PF: Zimbabwe African National Union-Patriotic Front	3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland East	Murehwa	Murehwa RDC	Murehwa	-17.64694	31.77750	1	Zimbabwe Human Rights NGO Forum	UP member attacked at Zanu-PF rally	0
